"DailyAverageStationPressure","DailyAverageWindSpeed","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySustainedWindDirection","DailySustainedWindSpeed","DailyAverageDewPointTemperature","DailyAverageRelativeHumidity"
1015.239722,2.45872,0.555555555555556,-2.77777777777778,10,7.15264,1.016,360,6.25856,-3.88888888888889,84
1020.657946,1.78816,5.55555555555556,-0.555555555555556,80,5.81152,4.318,110,4.4704,0,81
1013.885166,7.15264,2.22222222222222,-0.555555555555556,40,14.75232,22.606,40,11.62304,-0.555555555555556,87
1012.869249,5.36448,1.11111111111111,-2.22222222222222,10,12.96416,0,20,10.72896,-3.88888888888889,77
1003.048718,1.475232,5,-0.555555555555556,270,8.04672,0.762,270,7.15264,0,91
1002.37144,2.68224,3.88888888888889,-1.66666666666667,300,8.9408,0,310,7.15264,-1.11111111111111,81
1009.821498,3.218688,0.555555555555556,-5,310,8.04672,0,310,6.7056,-10,56
1016.255639,1.430528,4.44444444444444,-5,280,7.15264,0.254,270,6.25856,-4.44444444444444,75
1013.885166,3.218688,13.8888888888889,-2.77777777777778,300,9.38784,0,250,7.59968,0,68
1027.092087,2.950464,8.33333333333333,-1.66666666666667,310,8.9408,0,320,7.15264,-3.33333333333333,63
1019.642029,2.771648,13.8888888888889,-1.11111111111111,230,16.09344,1.778,210,12.96416,4.44444444444444,91
1011.176054,4.425696,12.7777777777778,2.22222222222222,210,14.30528,3.048,220,12.51712,2.77777777777778,69
1011.514693,2.369312,10,-1.11111111111111,200,7.15264,0.127,200,6.7056,5,93
990.857714,5.275072,13.8888888888889,8.33333333333333,190,14.30528,26.67,190,12.51712,11.1111111111111,96
991.534992,9.209024,7.77777777777778,-11.1111111111111,330,20.1168,12.446,330,13.85824,-10,66
1004.403274,6.437376,-0.555555555555556,-13.3333333333333,280,13.4112,0,300,9.83488,-16.1111111111111,47
1019.30339,3.039872,5.55555555555556,-5.55555555555556,10,7.15264,0.127,360,6.25856,-8.88888888888889,52
1004.741913,11.176,14.4444444444444,2.22222222222222,230,20.56384,24.13,240,16.09344,4.44444444444444,80
1019.30339,4.91744,6.66666666666667,0,260,12.96416,0,270,9.83488,-5.55555555555556,54
1018.287473,3.933952,14.4444444444444,2.22222222222222,260,12.51712,0,250,9.83488,1.11111111111111,62
1014.562444,5.453888,15,2.77777777777778,320,17.43456,0.127,310,13.85824,1.11111111111111,64
1033.187589,2.637536,5,-1.11111111111111,330,10.28192,0,320,7.59968,-10,43
1016.594278,3.531616,2.77777777777778,0,10,11.176,20.32,10,8.9408,-0.555555555555556,88
1007.451025,2.279904,5,-2.77777777777778,220,7.15264,0,220,6.25856,-2.77777777777778,76
998.646411,3.844544,7.22222222222222,0,310,11.176,2.032,300,9.38784,-0.555555555555556,76
1013.546527,6.92912,4.44444444444444,-3.33333333333333,360,12.96416,0.127,350,10.28192,-7.77777777777778,54
1026.414809,4.649216,5,-5.55555555555556,330,11.62304,0,330,8.9408,-14.4444444444444,35
1017.948834,4.291584,12.7777777777778,0.555555555555556,280,10.72896,0,300,7.59968,-7.22222222222222,39
1010.837415,3.084576,11.1111111111111,-0.555555555555556,250,12.51712,8.128,240,9.38784,2.22222222222222,74
1007.789664,3.889248,10,2.22222222222222,10,8.04672,0.127,20,6.7056,3.33333333333333,92
1002.710079,6.973824,5,-0.555555555555556,10,14.30528,2.286,10,11.62304,0.555555555555556,89
1009.14422,3.263392,6.66666666666667,-0.555555555555556,330,10.72896,0,350,8.04672,-2.22222222222222,69
1014.562444,2.324608,8.88888888888889,-2.22222222222222,210,8.9408,0,180,6.7056,-0.555555555555556,77
1006.096469,4.425696,12.7777777777778,3.88888888888889,200,16.09344,35.56,200,12.96416,7.22222222222222,90
1006.773747,2.503424,11.6666666666667,0.555555555555556,40,8.04672,10.16,60,6.7056,3.88888888888889,84
992.889548,5.945632,13.3333333333333,3.33333333333333,250,16.54048,8.89,250,12.51712,3.33333333333333,71
1002.032801,7.510272,5,1.11111111111111,260,16.09344,0,260,12.51712,-8.33333333333333,44
1008.128303,6.079744,4.44444444444444,-2.77777777777778,300,15.6464,0,300,12.51712,-9.44444444444444,46
1012.53061,3.173984,2.77777777777778,-6.11111111111111,290,8.9408,0,290,7.15264,-11.1111111111111,49
1012.53061,2.726944,1.66666666666667,-5.55555555555556,280,7.59968,0,280,6.7056,-14.4444444444444,41
1016.932917,3.621024,0,-7.22222222222222,290,12.51712,0,310,9.38784,-13.8888888888889,45
1017.948834,3.710432,0.555555555555556,-5.55555555555556,50,13.4112,0.127,50,10.28192,-10.5555555555556,55
1000.339606,8.672576,-2.22222222222222,-7.77777777777778,10,19.66976,13.97,360,15.6464,-8.33333333333333,79
1006.435108,4.783328,1.11111111111111,-10,280,13.85824,0,230,9.38784,-12.2222222222222,52
1014.901083,4.112768,5,-3.88888888888889,200,9.38784,0.127,250,8.04672,-7.22222222222222,56
1019.642029,3.531616,12.7777777777778,-2.77777777777778,210,11.176,0,210,9.83488,-1.11111111111111,66
1021.673863,2.592832,12.7777777777778,-1.66666666666667,190,9.38784,0,160,7.15264,1.11111111111111,76
1009.482859,8.404352,13.8888888888889,-1.66666666666667,310,21.01088,0.508,280,14.75232,0,61
1016.594278,6.750304,1.11111111111111,-10,290,17.43456,0.127,290,13.4112,-16.1111111111111,39
1021.673863,4.515104,-1.66666666666667,-12.2222222222222,270,12.51712,0,300,9.38784,-18.3333333333333,40
1016.594278,3.308096,1.66666666666667,-9.44444444444444,280,8.9408,0,260,7.15264,-14.4444444444444,46
1011.514693,3.12928,5.55555555555556,-6.11111111111111,230,12.51712,0.127,240,9.38784,-10,49
1015.239722,2.861056,6.11111111111111,-5,250,9.83488,0,250,8.04672,-7.77777777777778,55
1009.14422,1.654048,5.55555555555556,-1.66666666666667,150,7.59968,0.254,160,6.7056,-1.11111111111111,83
1010.837415,7.465568,3.33333333333333,-3.88888888888889,320,21.45792,0.127,320,16.09344,-10,47
1013.885166,3.397504,0.555555555555556,-7.22222222222222,310,14.75232,0.508,310,11.62304,-10.5555555555556,62
1013.207888,6.616192,-2.22222222222222,-10,330,14.75232,0.127,360,11.62304,-16.6666666666667,46
1010.498776,6.392672,-3.88888888888889,-11.6666666666667,310,16.54048,0,300,11.62304,-21.1111111111111,33
1006.773747,5.14096,-0.555555555555556,-10.5555555555556,260,13.4112,0,300,10.72896,-17.7777777777778,35
1007.789664,4.604512,1.66666666666667,-6.66666666666667,290,12.51712,0,290,8.9408,-16.1111111111111,36
1001.355523,2.90576,0,-6.66666666666667,360,8.9408,8.382,360,7.59968,-8.88888888888889,66
1004.403274,5.900928,-1.66666666666667,-7.77777777777778,310,14.30528,0,300,11.176,-13.8888888888889,48
1006.773747,6.124448,3.33333333333333,-7.77777777777778,10,13.85824,0,360,11.176,-11.1111111111111,48
1011.514693,5.051552,7.22222222222222,-3.33333333333333,300,11.176,0,330,8.9408,-10.5555555555556,41
1013.207888,2.2352,3.88888888888889,-3.88888888888889,190,7.15264,0,190,6.25856,-9.44444444444444,53
1016.932917,2.503424,7.22222222222222,-5.55555555555556,20,11.62304,0,20,6.7056,-7.77777777777778,56
1016.594278,2.548128,7.77777777777778,-3.33333333333333,200,6.7056,0,210,5.81152,-6.66666666666667,54
1014.223805,4.068064,7.77777777777778,0.555555555555556,170,10.72896,0.254,180,8.9408,1.11111111111111,80
1005.080552,5.14096,18.3333333333333,5.55555555555556,210,14.30528,0,210,11.62304,7.22222222222222,73
1018.626112,4.649216,15.5555555555556,5,320,11.176,0,330,9.38784,-2.22222222222222,43
1016.255639,2.637536,13.8888888888889,1.11111111111111,210,12.51712,0.508,200,10.28192,2.77777777777778,74
1007.451025,2.414016,12.7777777777778,4.44444444444444,170,8.9408,2.032,170,7.59968,7.22222222222222,91
995.260021,5.096256,16.1111111111111,3.33333333333333,320,13.85824,3.302,310,11.176,3.33333333333333,67
1001.016884,7.510272,7.22222222222222,0,300,19.66976,0.127,290,14.30528,-8.33333333333333,42
1009.482859,6.169152,7.22222222222222,-0.555555555555556,290,14.30528,0,290,11.176,-10,39
1011.853332,4.4704,6.11111111111111,-3.88888888888889,360,11.62304,0,360,9.83488,-11.6666666666667,41
1009.821498,5.543296,5.55555555555556,-5.55555555555556,320,12.96416,0,310,10.72896,-13.8888888888889,38
1010.160137,4.828032,3.33333333333333,-4.44444444444444,310,13.4112,0.127,310,10.28192,-11.6666666666667,44
1011.514693,5.230368,3.33333333333333,-4.44444444444444,310,14.30528,0,310,11.176,-12.7777777777778,42
1005.75783,3.3528,8.33333333333333,-5.55555555555556,300,8.9408,0,310,7.15264,-11.6666666666667,37
1006.773747,5.14096,7.22222222222222,-1.11111111111111,330,10.28192,0,310,8.9408,-7.22222222222222,47
1013.546527,4.157472,13.8888888888889,-0.555555555555556,360,9.83488,0,20,7.59968,-4.44444444444444,47
1016.594278,2.726944,8.88888888888889,0.555555555555556,170,6.7056,0,170,5.81152,-1.11111111111111,66
1011.853332,5.230368,6.11111111111111,1.11111111111111,50,10.72896,0.127,50,9.38784,-1.11111111111111,72
1009.14422,4.738624,11.1111111111111,2.22222222222222,360,11.62304,0.127,20,9.83488,-4.44444444444444,46
1014.901083,4.24688,14.4444444444444,2.77777777777778,360,11.62304,0,300,8.9408,-8.33333333333333,31
1020.657946,3.173984,10.5555555555556,-0.555555555555556,160,9.38784,0,160,8.04672,-3.88888888888889,55
1020.657946,2.861056,15,-1.11111111111111,210,9.38784,0,200,8.04672,-2.22222222222222,55
1022.351141,3.12928,18.8888888888889,2.77777777777778,160,8.9408,0,160,7.59968,-3.33333333333333,43
1019.30339,5.275072,20.5555555555556,2.77777777777778,220,14.30528,0,220,11.62304,1.66666666666667,51
1007.451025,4.291584,19.4444444444444,7.77777777777778,300,12.51712,0.127,230,9.83488,7.22222222222222,71
1009.821498,5.319776,19.4444444444444,7.77777777777778,10,12.96416,0,360,10.28192,-5,33
1013.885166,3.3528,13.3333333333333,1.66666666666667,180,9.38784,1.016,170,8.04672,-5,42
